dataset,run,step,susceptible,infected,recovered
BOT_REQUESTS,1,0,517,2,0
BOT_REQUESTS,1,1,515,3,1
BOT_REQUESTS,1,2,502,16,1
BOT_REQUESTS,1,3,444,66,9
BOT_REQUESTS,1,4,316,178,25
BOT_REQUESTS,1,5,223,214,82
BOT_REQUESTS,1,6,163,211,145
BOT_REQUESTS,2,0,517,2,0
BOT_REQUESTS,2,1,516,2,1
BOT_REQUESTS,2,2,515,3,1
BOT_REQUESTS,2,3,489,28,2
BOT_REQUESTS,2,4,329,180,10
BOT_REQUESTS,2,5,199,248,72
BOT_REQUESTS,2,6,149,215,155
BOT_REQUESTS,3,0,517,2,0
BOT_REQUESTS,3,1,515,4,0
BOT_REQUESTS,3,2,489,28,2
BOT_REQUESTS,3,3,395,110,14
BOT_REQUESTS,3,4,254,219,46
BOT_REQUESTS,3,5,175,232,112
BOT_REQUESTS,3,6,136,207,176
BOT_REQUESTS,4,0,517,2,0
BOT_REQUESTS,4,1,516,2,1
BOT_REQUESTS,4,2,506,10,3
BOT_REQUESTS,4,3,469,47,3
BOT_REQUESTS,4,4,349,155,15
BOT_REQUESTS,4,5,245,216,58
BOT_REQUESTS,4,6,181,217,121
BOT_REQUESTS,5,0,517,2,0
BOT_REQUESTS,5,1,517,2,0
BOT_REQUESTS,5,2,514,4,1
BOT_REQUESTS,5,3,489,27,3
BOT_REQUESTS,5,4,395,110,14
BOT_REQUESTS,5,5,260,212,47
BOT_REQUESTS,5,6,187,225,107
BOT_REQUESTS,6,0,517,2,0
BOT_REQUESTS,6,1,516,3,0
BOT_REQUESTS,6,2,504,14,1
BOT_REQUESTS,6,3,471,44,4
BOT_REQUESTS,6,4,356,143,20
BOT_REQUESTS,6,5,216,240,63
BOT_REQUESTS,6,6,185,202,132
BOT_REQUESTS,7,0,517,2,0
BOT_REQUESTS,7,1,517,2,0
BOT_REQUESTS,7,2,516,3,0
BOT_REQUESTS,7,3,514,5,0
BOT_REQUESTS,7,4,505,14,0
BOT_REQUESTS,7,5,468,48,3
BOT_REQUESTS,7,6,315,184,20
BOT_REQUESTS,8,0,517,2,0
BOT_REQUESTS,8,1,516,2,1
BOT_REQUESTS,8,2,513,4,2
BOT_REQUESTS,8,3,496,20,3
BOT_REQUESTS,8,4,367,140,12
BOT_REQUESTS,8,5,244,223,52
BOT_REQUESTS,8,6,191,210,118
BOT_REQUESTS,9,0,517,2,0
BOT_REQUESTS,9,1,516,3,0
BOT_REQUESTS,9,2,509,9,1
BOT_REQUESTS,9,3,404,111,4
BOT_REQUESTS,9,4,243,245,31
BOT_REQUESTS,9,5,168,260,91
BOT_REQUESTS,9,6,136,198,185
BOT_REQUESTS,10,0,517,2,0
BOT_REQUESTS,10,1,517,1,1
BOT_REQUESTS,10,2,517,1,1
BOT_REQUESTS,10,3,516,2,1
BOT_REQUESTS,10,4,509,9,1
BOT_REQUESTS,10,5,453,63,3
BOT_REQUESTS,10,6,292,204,23
BOT_REQUESTS,11,0,517,2,0
BOT_REQUESTS,11,1,517,0,2
BOT_REQUESTS,11,2,517,0,2
BOT_REQUESTS,11,3,517,0,2
BOT_REQUESTS,11,4,517,0,2
BOT_REQUESTS,11,5,517,0,2
BOT_REQUESTS,11,6,517,0,2
BOT_REQUESTS,12,0,517,2,0
BOT_REQUESTS,12,1,516,3,0
BOT_REQUESTS,12,2,513,4,2
BOT_REQUESTS,12,3,484,33,2
BOT_REQUESTS,12,4,345,165,9
BOT_REQUESTS,12,5,221,237,61
BOT_REQUESTS,12,6,166,221,132
BOT_REQUESTS,13,0,517,2,0
BOT_REQUESTS,13,1,514,5,0
BOT_REQUESTS,13,2,497,21,1
BOT_REQUESTS,13,3,389,122,8
BOT_REQUESTS,13,4,245,234,40
BOT_REQUESTS,13,5,139,264,116
BOT_REQUESTS,13,6,105,228,186
BOT_REQUESTS,14,0,517,2,0
BOT_REQUESTS,14,1,516,2,1
BOT_REQUESTS,14,2,511,6,2
BOT_REQUESTS,14,3,424,90,5
BOT_REQUESTS,14,4,281,203,35
BOT_REQUESTS,14,5,219,205,95
BOT_REQUESTS,14,6,173,184,162
BOT_REQUESTS,15,0,517,2,0
BOT_REQUESTS,15,1,515,4,0
BOT_REQUESTS,15,2,497,19,3
BOT_REQUESTS,15,3,398,112,9
BOT_REQUESTS,15,4,247,228,44
BOT_REQUESTS,15,5,174,232,113
BOT_REQUESTS,15,6,146,185,188
BOT_REQUESTS,16,0,517,2,0
BOT_REQUESTS,16,1,517,1,1
BOT_REQUESTS,16,2,516,2,1
BOT_REQUESTS,16,3,503,15,1
BOT_REQUESTS,16,4,455,59,5
BOT_REQUESTS,16,5,315,183,21
BOT_REQUESTS,16,6,198,247,74
BOT_REQUESTS,17,0,517,2,0
BOT_REQUESTS,17,1,516,3,0
BOT_REQUESTS,17,2,501,16,2
BOT_REQUESTS,17,3,408,107,4
BOT_REQUESTS,17,4,241,243,35
BOT_REQUESTS,17,5,175,246,98
BOT_REQUESTS,17,6,124,216,179
BOT_REQUESTS,18,0,517,2,0
BOT_REQUESTS,18,1,516,2,1
BOT_REQUESTS,18,2,511,6,2
BOT_REQUESTS,18,3,489,27,3
BOT_REQUESTS,18,4,371,135,13
BOT_REQUESTS,18,5,230,236,53
BOT_REQUESTS,18,6,176,216,127
BOT_REQUESTS,19,0,517,2,0
BOT_REQUESTS,19,1,517,1,1
BOT_REQUESTS,19,2,515,3,1
BOT_REQUESTS,19,3,500,16,3
BOT_REQUESTS,19,4,391,119,9
BOT_REQUESTS,19,5,248,223,48
BOT_REQUESTS,19,6,175,244,100
BOT_REQUESTS,20,0,517,2,0
BOT_REQUESTS,20,1,517,1,1
BOT_REQUESTS,20,2,516,2,1
BOT_REQUESTS,20,3,510,7,2
BOT_REQUESTS,20,4,487,30,2
BOT_REQUESTS,20,5,346,166,7
BOT_REQUESTS,20,6,220,236,63
BOT_REQUESTS,21,0,517,2,0
BOT_REQUESTS,21,1,516,2,1
BOT_REQUESTS,21,2,514,4,1
BOT_REQUESTS,21,3,437,80,2
BOT_REQUESTS,21,4,264,222,33
BOT_REQUESTS,21,5,176,243,100
BOT_REQUESTS,21,6,150,196,173
BOT_REQUESTS,22,0,517,2,0
BOT_REQUESTS,22,1,517,1,1
BOT_REQUESTS,22,2,517,1,1
BOT_REQUESTS,22,3,515,3,1
BOT_REQUESTS,22,4,503,14,2
BOT_REQUESTS,22,5,441,70,8
BOT_REQUESTS,22,6,273,212,34
BOT_REQUESTS,23,0,517,2,0
BOT_REQUESTS,23,1,516,2,1
BOT_REQUESTS,23,2,497,20,2
BOT_REQUESTS,23,3,374,136,9
BOT_REQUESTS,23,4,233,230,56
BOT_REQUESTS,23,5,172,218,129
BOT_REQUESTS,23,6,149,173,197
BOT_REQUESTS,24,0,517,2,0
BOT_REQUESTS,24,1,516,3,0
BOT_REQUESTS,24,2,496,22,1
BOT_REQUESTS,24,3,447,65,7
BOT_REQUESTS,24,4,298,197,24
BOT_REQUESTS,24,5,206,229,84
BOT_REQUESTS,24,6,150,219,150
BOT_REQUESTS,25,0,517,2,0
BOT_REQUESTS,25,1,516,1,2
BOT_REQUESTS,25,2,497,20,2
BOT_REQUESTS,25,3,440,73,6
BOT_REQUESTS,25,4,285,201,33
BOT_REQUESTS,25,5,170,261,88
BOT_REQUESTS,25,6,128,215,176
BOT_REQUESTS,26,0,517,2,0
BOT_REQUESTS,26,1,517,2,0
BOT_REQUESTS,26,2,516,2,1
BOT_REQUESTS,26,3,506,10,3
BOT_REQUESTS,26,4,417,95,7
BOT_REQUESTS,26,5,283,205,31
BOT_REQUESTS,26,6,205,224,90
BOT_REQUESTS,27,0,517,2,0
BOT_REQUESTS,27,1,517,2,0
BOT_REQUESTS,27,2,514,5,0
BOT_REQUESTS,27,3,498,20,1
BOT_REQUESTS,27,4,370,144,5
BOT_REQUESTS,27,5,229,241,49
BOT_REQUESTS,27,6,160,231,128
BOT_REQUESTS,28,0,517,2,0
BOT_REQUESTS,28,1,517,2,0
BOT_REQUESTS,28,2,516,3,0
BOT_REQUESTS,28,3,511,6,2
BOT_REQUESTS,28,4,461,55,3
BOT_REQUESTS,28,5,279,228,12
BOT_REQUESTS,28,6,182,266,71
BOT_REQUESTS,29,0,517,2,0
BOT_REQUESTS,29,1,516,3,0
BOT_REQUESTS,29,2,494,24,1
BOT_REQUESTS,29,3,400,113,6
BOT_REQUESTS,29,4,245,239,35
BOT_REQUESTS,29,5,168,239,112
BOT_REQUESTS,29,6,130,214,175
BOT_REQUESTS,30,0,517,2,0
BOT_REQUESTS,30,1,517,2,0
BOT_REQUESTS,30,2,514,5,0
BOT_REQUESTS,30,3,494,24,1
BOT_REQUESTS,30,4,379,136,4
BOT_REQUESTS,30,5,236,244,39
BOT_REQUESTS,30,6,184,220,115
BOT_REQUESTS,31,0,517,2,0
BOT_REQUESTS,31,1,516,3,0
BOT_REQUESTS,31,2,507,11,1
BOT_REQUESTS,31,3,463,54,2
BOT_REQUESTS,31,4,333,167,19
BOT_REQUESTS,31,5,213,234,72
BOT_REQUESTS,31,6,167,206,146
BOT_REQUESTS,32,0,517,2,0
BOT_REQUESTS,32,1,515,4,0
BOT_REQUESTS,32,2,498,21,0
BOT_REQUESTS,32,3,393,121,5
BOT_REQUESTS,32,4,233,248,38
BOT_REQUESTS,32,5,155,254,110
BOT_REQUESTS,32,6,116,223,180
BOT_REQUESTS,33,0,517,2,0
BOT_REQUESTS,33,1,516,1,2
BOT_REQUESTS,33,2,510,7,2
BOT_REQUESTS,33,3,497,17,5
BOT_REQUESTS,33,4,441,68,10
BOT_REQUESTS,33,5,278,212,29
BOT_REQUESTS,33,6,197,241,81
BOT_REQUESTS,34,0,517,2,0
BOT_REQUESTS,34,1,516,3,0
BOT_REQUESTS,34,2,514,5,0
BOT_REQUESTS,34,3,422,96,1
BOT_REQUESTS,34,4,269,225,25
BOT_REQUESTS,34,5,190,226,103
BOT_REQUESTS,34,6,153,201,165
BOT_REQUESTS,35,0,517,2,0
BOT_REQUESTS,35,1,516,1,2
BOT_REQUESTS,35,2,509,7,3
BOT_REQUESTS,35,3,464,50,5
BOT_REQUESTS,35,4,320,177,22
BOT_REQUESTS,35,5,219,226,74
BOT_REQUESTS,35,6,175,191,153
BOT_REQUESTS,36,0,517,2,0
BOT_REQUESTS,36,1,517,1,1
BOT_REQUESTS,36,2,517,1,1
BOT_REQUESTS,36,3,517,1,1
BOT_REQUESTS,36,4,517,1,1
BOT_REQUESTS,36,5,516,2,1
BOT_REQUESTS,36,6,515,3,1
BOT_REQUESTS,37,0,517,2,0
BOT_REQUESTS,37,1,515,4,0
BOT_REQUESTS,37,2,515,4,0
BOT_REQUESTS,37,3,510,7,2
BOT_REQUESTS,37,4,419,97,3
BOT_REQUESTS,37,5,276,207,36
BOT_REQUESTS,37,6,197,229,93
BOT_REQUESTS,38,0,517,2,0
BOT_REQUESTS,38,1,517,1,1
BOT_REQUESTS,38,2,517,1,1
BOT_REQUESTS,38,3,516,2,1
BOT_REQUESTS,38,4,516,2,1
BOT_REQUESTS,38,5,514,4,1
BOT_REQUESTS,38,6,506,11,2
BOT_REQUESTS,39,0,517,2,0
BOT_REQUESTS,39,1,516,3,0
BOT_REQUESTS,39,2,515,1,3
BOT_REQUESTS,39,3,514,2,3
BOT_REQUESTS,39,4,502,13,4
BOT_REQUESTS,39,5,443,64,12
BOT_REQUESTS,39,6,288,195,36
BOT_REQUESTS,40,0,517,2,0
BOT_REQUESTS,40,1,515,4,0
BOT_REQUESTS,40,2,500,17,2
BOT_REQUESTS,40,3,415,97,7
BOT_REQUESTS,40,4,268,211,40
BOT_REQUESTS,40,5,196,224,99
BOT_REQUESTS,40,6,168,170,181
BOT_REQUESTS,41,0,517,2,0
BOT_REQUESTS,41,1,515,3,1
BOT_REQUESTS,41,2,508,9,2
BOT_REQUESTS,41,3,414,102,3
BOT_REQUESTS,41,4,260,225,34
BOT_REQUESTS,41,5,191,228,100
BOT_REQUESTS,41,6,148,197,174
BOT_REQUESTS,42,0,517,2,0
BOT_REQUESTS,42,1,515,3,1
BOT_REQUESTS,42,2,508,9,2
BOT_REQUESTS,42,3,478,36,5
BOT_REQUESTS,42,4,364,140,15
BOT_REQUESTS,42,5,238,220,61
BOT_REQUESTS,42,6,185,206,128
BOT_REQUESTS,43,0,517,2,0
BOT_REQUESTS,43,1,517,1,1
BOT_REQUESTS,43,2,515,3,1
BOT_REQUESTS,43,3,494,23,2
BOT_REQUESTS,43,4,378,134,7
BOT_REQUESTS,43,5,250,230,39
BOT_REQUESTS,43,6,180,223,116
BOT_REQUESTS,44,0,517,2,0
BOT_REQUESTS,44,1,516,3,0
BOT_REQUESTS,44,2,510,9,0
BOT_REQUESTS,44,3,440,75,4
BOT_REQUESTS,44,4,286,207,26
BOT_REQUESTS,44,5,174,254,91
BOT_REQUESTS,44,6,125,223,171
BOT_REQUESTS,45,0,517,2,0
BOT_REQUESTS,45,1,516,2,1
BOT_REQUESTS,45,2,514,4,1
BOT_REQUESTS,45,3,491,25,3
BOT_REQUESTS,45,4,351,157,11
BOT_REQUESTS,45,5,220,252,47
BOT_REQUESTS,45,6,154,244,121
BOT_REQUESTS,46,0,517,2,0
BOT_REQUESTS,46,1,517,1,1
BOT_REQUESTS,46,2,514,4,1
BOT_REQUESTS,46,3,492,25,2
BOT_REQUESTS,46,4,402,108,9
BOT_REQUESTS,46,5,261,208,50
BOT_REQUESTS,46,6,175,231,113
BOT_REQUESTS,47,0,517,2,0
