cell_x,cell_y,accident_count,center_x,center_y,distance_to_centroid_m
430000,433000,851,430500.0,433500.0,915.655066977688
431000,435000,694,431500.0,435500.0,1969.583720214281
429000,433000,569,429500.0,433500.0,889.896500091352
430000,434000,458,430500.0,434500.0,579.2994958602867
430000,435000,324,430500.0,435500.0,1353.7915681987574
431000,434000,319,431500.0,434500.0,1543.404135899298
428000,435000,305,428500.0,435500.0,1933.8393853968062
428000,434000,299,428500.0,434500.0,1497.5216406749616
428000,433000,270,428500.0,433500.0,1656.9270835096397
430000,431000,260,430500.0,431500.0,2800.73147467546
427000,436000,250,427500.0,436500.0,3345.2040374133967
432000,435000,244,432500.0,435500.0,2815.2741343855314
429000,434000,229,429500.0,434500.0,537.6611247774064
427000,434000,219,427500.0,434500.0,2489.189153817514
432000,434000,219,432500.0,434500.0,2535.4693347619364
429000,431000,216,429500.0,431500.0,2792.4162247828854
431000,433000,194,431500.0,433500.0,1698.5089409505592
430000,432000,193,430500.0,432500.0,1827.9115124808
428000,432000,192,428500.0,432500.0,2290.9045497020807
423000,434000,191,423500.0,434500.0,6481.51440330533
431000,430000,185,431500.0,430500.0,4048.881513433406
427000,433000,182,427500.0,433500.0,2588.223123932843
433000,434000,182,433500.0,434500.0,3532.012622900039
429000,430000,182,429500.0,430500.0,3781.5902300763146
428000,431000,180,428500.0,431500.0,3122.6719250705196
426000,435000,179,426500.0,435500.0,3694.146440911316
429000,432000,174,429500.0,432500.0,1815.1451943722764
426000,433000,174,426500.0,433500.0,3557.0198928954005
429000,435000,172,429500.0,435500.0,1336.5040925186029
427000,435000,169,427500.0,435500.0,2773.666589138792
436000,434000,167,436500.0,434500.0,6527.9888503846605
420000,434000,163,420500.0,434500.0,9480.005469293423
428000,429000,159,428500.0,429500.0,4975.615795374427
432000,436000,155,432500.0,436500.0,3379.782856332973
431000,431000,138,431500.0,431500.0,3144.9332606662506
424000,428000,138,424500.0,428500.0,7941.886120798328
432000,427000,136,432500.0,427500.0,7207.5279269638395
422000,433000,136,422500.0,433500.0,7514.4099459122735
428000,426000,131,428500.0,426500.0,7890.834013620695
426000,438000,129,426500.0,438500.0,5489.82777867976
425000,434000,128,425500.0,434500.0,4483.642024277652
423000,437000,128,423500.0,437500.0,7245.793267332477
427000,430000,126,427500.0,430500.0,4495.265045199724
432000,433000,125,432500.0,433500.0,2632.763005531654
427000,431000,125,427500.0,431500.0,3701.968602084106
430000,436000,122,430500.0,436500.0,2308.660935336352
424000,434000,118,424500.0,434500.0,5482.384278857286
435000,436000,118,435500.0,436500.0,5963.4266507087605
426000,427000,117,426500.0,427500.0,7594.037680517605
430000,438000,113,430500.0,438500.0,4280.682506656182
429000,438000,111,429500.0,438500.0,4275.246694868634
434000,433000,108,434500.0,433500.0,4585.243492434204
424000,427000,108,424500.0,427500.0,8693.468321188446
433000,435000,106,433500.0,435500.0,3737.950892206488
430000,437000,103,430500.0,437500.0,3290.452707238046
436000,435000,103,436500.0,435500.0,6641.671637093218
425000,435000,101,425500.0,435500.0,4647.602554660915
420000,445000,98,420500.0,445500.0,14708.477298628704
428000,436000,97,428500.0,436500.0,2690.1484109122985
431000,432000,93,431500.0,432500.0,2321.1568060488553
433000,436000,93,433500.0,436500.0,4179.645987014851
425000,433000,93,425500.0,433500.0,4539.370231391854
432000,426000,93,432500.0,426500.0,8151.76637997812
426000,437000,90,426500.0,437500.0,4758.260746884504
435000,435000,88,435500.0,435500.0,5662.622512066422
427000,426000,88,427500.0,426500.0,8137.490584308298
421000,434000,88,421500.0,434500.0,8480.389856524303
428000,430000,84,428500.0,430500.0,4031.614595593378
431000,428000,84,431500.0,428500.0,5949.71546390066
432000,438000,83,432500.0,438500.0,4941.382353593619
435000,425000,82,435500.0,425500.0,10348.606508701581
429000,437000,81,429500.0,437500.0,3283.377924906469
424000,435000,81,424500.0,435500.0,5617.268115844533
434000,434000,80,434500.0,434500.0,4530.079644899446
435000,434000,80,435500.0,434500.0,5528.845269126218
425000,432000,78,425500.0,432500.0,4807.152836495264
430000,439000,76,430500.0,439500.0,5274.60012010525
425000,437000,76,425500.0,437500.0,5531.232856654546
427000,425000,75,427500.0,425500.0,9095.140972271081
427000,437000,73,427500.0,437500.0,4085.040239232529
431000,426000,73,431500.0,426500.0,7899.670036965754
429000,436000,72,429500.0,436500.0,2298.5662691210455
419000,441000,72,419500.0,441500.0,12739.864253852184
434000,428000,70,434500.0,428500.0,7317.010274955194
433000,429000,69,433500.0,429500.0,5915.174946458885
436000,433000,68,436500.0,433500.0,6566.389778753952
437000,433000,67,437500.0,433500.0,7560.686684907096
431000,429000,65,431500.0,429500.0,4989.616999890945
424000,433000,65,424500.0,433500.0,5528.053335202136
436000,436000,64,436500.0,436500.0,6899.925060403959
420000,440000,62,420500.0,440500.0,11351.364936568889
426000,431000,61,426500.0,431500.0,4433.741434726372
440000,448000,61,440500.0,448500.0,17713.299070841764
427000,432000,60,427500.0,432500.0,3033.436209159279
434000,436000,60,434500.0,436500.0,5051.331408408721
429000,427000,59,429500.0,427500.0,6768.229720949374
433000,433000,58,433500.0,433500.0,3602.492118534494
428000,427000,58,428500.0,427500.0,6911.036473260386
430000,424000,58,430500.0,424500.0,9765.4467825944
434000,435000,57,434500.0,435500.0,4692.4178515296735
421000,440000,57,421500.0,440500.0,10530.906624976442
425000,426000,56,425500.0,426500.0,8951.298015823853
424000,444000,56,424500.0,444500.0,11620.162409505394
420000,441000,56,420500.0,441500.0,11931.079147645769
422000,434000,54,422500.0,434500.0,7480.876989995716
424000,437000,53,424500.0,437500.0,6367.73338745646
433000,425000,53,433500.0,425500.0,9434.015042935145
428000,440000,52,428500.0,440500.0,6420.712833449433
430000,430000,51,430500.0,430500.0,3787.7345589436054
432000,439000,51,432500.0,439500.0,5823.609127390718
420000,439000,51,420500.0,439500.0,10833.112305286213
435000,433000,50,435500.0,433500.0,5574.133682081665
426000,428000,50,426500.0,428500.0,6720.608008011125
422000,432000,50,422500.0,432500.0,7679.140129663167
421000,435000,50,421500.0,435500.0,8568.207270068948
431000,437000,49,431500.0,437500.0,3587.978182678549
423000,435000,49,423500.0,435500.0,6595.998231085005
429000,439000,47,429500.0,439500.0,5270.189560747056
432000,429000,47,432500.0,429500.0,5379.850018951067
424000,438000,47,424500.0,438500.0,6931.463928922216
442000,434000,47,442500.0,434500.0,12525.721095233956
426000,436000,46,426500.0,436500.0,4140.51707291732
432000,430000,46,432500.0,430500.0,4521.056284833209
425000,428000,46,425500.0,428500.0,7288.351224833789
434000,425000,46,434500.0,425500.0,9851.251100806114
421000,433000,45,421500.0,433500.0,8509.9852182256
428000,425000,45,428500.0,425500.0,8875.139307430121
426000,439000,44,426500.0,439500.0,6295.663010659482
435000,439000,44,435500.0,439500.0,7619.314177211077
430000,427000,43,430500.0,427500.0,6771.664638502818
429000,428000,42,429500.0,428500.0,5771.143496722681
431000,425000,42,431500.0,425500.0,8882.996284402716
432000,425000,42,432500.0,425500.0,9107.91586530747
431000,436000,41,431500.0,436500.0,2715.957241039556
428000,428000,41,428500.0,428500.0,5937.978514524739
425000,429000,41,425500.0,429500.0,6528.187135856191
437000,432000,41,437500.0,432500.0,7724.430040016505
429000,426000,41,429500.0,426500.0,7766.065274726988
425000,436000,40,425500.0,436500.0,5009.727857909324
435000,437000,40,435500.0,437500.0,6407.778173642216
435000,428000,40,435500.0,428500.0,7974.029582626776
437000,429000,40,437500.0,429500.0,8898.051940196976
439000,432000,40,439500.0,432500.0,9682.966295754804
440000,433000,40,440500.0,433500.0,10550.047791823157
441000,430000,40,441500.0,430500.0,12118.519947497447
418000,442000,40,418500.0,442500.0,14133.463711701941
427000,438000,39,427500.0,438500.0,4917.795996213245
422000,436000,39,422500.0,436500.0,7807.550700949146
426000,426000,39,426500.0,426500.0,8495.424921032445
436000,428000,39,436500.0,428500.0,8696.646261945694
422000,443000,39,422500.0,443500.0,11892.770656051767
428000,437000,38,428500.0,437500.0,3568.481774782664
425000,439000,38,425500.0,439500.0,6898.468259184711
436000,427000,38,436500.0,427500.0,9387.997257199853
440000,432000,38,440500.0,432500.0,10668.005657363077
431000,438000,37,431500.0,438500.0,4513.396851995106
433000,437000,37,433500.0,437500.0,4792.348514141205
421000,441000,37,421500.0,441500.0,11153.347392070003
424000,432000,36,424500.0,432500.0,5749.9747801722915
431000,440000,36,431500.0,440500.0,6431.568902845049
425000,427000,36,425500.0,427500.0,8100.796249277852
429000,425000,36,429500.0,425500.0,8764.39422590622
438000,430000,35,438500.0,430500.0,9312.303713661422
422000,440000,35,422500.0,440500.0,9744.049608082862
430000,428000,34,430500.0,428500.0,5775.171484949306
432000,440000,34,432500.0,440500.0,6738.81198527237
435000,438000,34,435500.0,438500.0,6968.269858926794
443000,438000,34,443500.0,438500.0,14174.937466997315
445000,431000,34,445500.0,431500.0,15765.206091432612
422000,437000,33,422500.0,437500.0,8151.994335873496
430000,425000,33,430500.0,425500.0,8767.047083705287
421000,436000,33,421500.0,436500.0,8769.911033019915
