u,v,length_m,node_owner_u,node_owner_v,node_network_owner,edge_point_owner,is_boundary_edge
154962,3504720,549.2509675156003,Seed_4,Seed_4,Seed_4,Seed_4,False
154962,30804402,1868.7238691591476,Seed_4,Seed_2,boundary,Seed_2,True
154962,1578588639,2358.642968725015,Seed_4,Seed_4,Seed_4,Seed_4,False
30804402,1554667,5061.098709699288,Seed_2,Seed_2,Seed_2,Seed_2,False
155002,1596671811,1637.7400428566339,Seed_4,Seed_3,boundary,Seed_4,True
155002,375990593,1031.9770064187621,Seed_4,Seed_4,Seed_4,Seed_4,False
155002,34819541,519.520105647917,Seed_4,Seed_4,Seed_4,Seed_4,False
1596671811,155023,1191.8008713353868,Seed_3,Seed_3,Seed_3,Seed_3,False
1596671811,1596671830,1339.6477658819695,Seed_3,Seed_3,Seed_3,Seed_3,False
155014,319339,1956.151230175549,Seed_3,Seed_4,boundary,Seed_4,True
155014,1596671804,1020.9848682546756,Seed_3,Seed_3,Seed_3,Seed_3,False
155014,86031501,1260.9513262161515,Seed_3,Seed_3,Seed_3,Seed_3,False
319339,10260029642,1089.9711453952561,Seed_4,Seed_4,Seed_4,Seed_4,False
319339,6775147059,496.40654516639717,Seed_4,Seed_4,Seed_4,Seed_4,False
1596671804,6183263674,605.2541393054435,Seed_3,Seed_3,Seed_3,Seed_3,False
1596671804,1596683245,1581.3906477227724,Seed_3,Seed_3,Seed_3,Seed_3,False
155023,9831544,404.92056580931455,Seed_3,Seed_3,Seed_3,Seed_3,False
155023,86039969,1974.1259851351454,Seed_3,Seed_3,Seed_3,Seed_3,False
9831544,2302492475,722.3192387627829,Seed_3,Seed_3,Seed_3,Seed_3,False
9831544,86030774,1885.30095067423,Seed_3,Seed_3,Seed_3,Seed_3,False
86039969,601438,1053.0819410007882,Seed_3,Seed_3,Seed_3,Seed_3,False
86039969,1056977613,458.800849132686,Seed_3,Seed_3,Seed_3,Seed_3,False
155035,86040176,449.79680555941263,Seed_3,Seed_3,Seed_3,Seed_3,False
155035,86031501,1586.0243988041339,Seed_3,Seed_3,Seed_3,Seed_3,False
155035,1590365874,1101.7164774405328,Seed_3,Seed_3,Seed_3,Seed_3,False
86040176,415324240,254.05169070090548,Seed_3,Seed_3,Seed_3,Seed_3,False
86040176,9115485877,106.25211229952936,Seed_3,Seed_3,Seed_3,Seed_3,False
86031501,9831976,409.0046498531569,Seed_3,Seed_3,Seed_3,Seed_3,False
10260029642,319387,902.1836235557943,Seed_4,Seed_4,Seed_4,Seed_4,False
10260029642,9822921,597.2874244279417,Seed_4,Seed_4,Seed_4,Seed_4,False
6775147059,52698807,0.958236021719887,Seed_4,Seed_4,Seed_4,Seed_4,False
6775147059,34819541,210.77216026427675,Seed_4,Seed_4,Seed_4,Seed_4,False
319387,2377569836,595.528827461342,Seed_4,Seed_4,Seed_4,Seed_4,False
319387,6990105796,1325.1574939584343,Seed_4,Seed_4,Seed_4,Seed_4,False
2377569836,2377569796,50.42043487451572,Seed_4,Seed_4,Seed_4,Seed_4,False
